Time,V(inn),V(inp),V(n001),V(n002),V(n2v5),V(nc_01),V(nc_02),V(outa),V(outb),V(p2v5),V(sd),V(signal),V(vdd),V(vee),I(BIOUTA),I(BIOUTB),I(Ca),I(Cb),I(Cf),I(Cload),I(Cpara),I(Cparb),I(R1),I(R2),I(Ra),I(Rb),I(Rf),I(Rfn),I(Rfp),I(Rload),I(Rpara),I(Rparb),I(V1),I(V2),I(V3),I(V4),Ix(xu1:1),Ix(xu1:2),Ix(xu1:3),Ix(xu1:4),Ix(xu1:5),Ix(xu1:6),Ix(xu2:1),Ix(xu2:2),Ix(xu2:3),Ix(xu2:4),Ix(xu2:5),Ix(xu2:6),Ix(xu3:1),Ix(xu3:2),Ix(xu3:3),Ix(xu3:4),Ix(xu3:5),Ix(xu3:6)
2.3449999999987993e-06,4.2307245e-05,-1.6925818e-05,-0.9939003,-0.0026768318,-2.5,2.5,2.5,-0.0076787313,-0.0039807167,2.5,-15.183333,13.671656,18.0,-18.0,0.0039905226,9.477196e-06,-5.24944e-09,3.4812502e-09,1.7903084e-06,-0.00021411764,-1.1930545e-09,7.911932e-10,-0.0014083333,-0.0015183333,0.0065748105,-9.313462e-06,0.0065139686,-0.0039917375,-1.0682354e-05,0.62143886,2.820483e-10,-1.1283879e-10,-0.6607124,-0.03395203,-0.012567881,-0.0020000073,9.313462e-06,-5.9051614e-05,0.6607124,-0.032543696,-0.62816876,0.00011,-1.2009702e-06,-1.2084178e-06,0.0010000041,-0.011566496,0.0105665475,0.0,-1.1996747e-06,-1.2093174e-06,0.0010000031,-0.0010013842,1.3688912e-06,0.0
2.354999999998794e-06,3.9920473e-05,-1.5342968e-05,-0.9941972,-0.0023807674,-2.5,2.5,2.5,-0.007378565,-0.0036844674,2.5,-15.183333,13.681107,18.0,-18.0,0.0039917054,8.294597e-06,-5.2523625e-09,3.4832877e-09,1.6870287e-06,-0.0002017287,-1.1937187e-09,7.916563e-10,-0.0014083333,-0.0015183333,0.006578791,-9.3121425e-06,0.0065183262,-0.0039929203,-9.499697e-06,0.6218685,2.6613647e-10,-1.0228646e-10,-0.6611339,-0.03395203,-0.012571865,-0.0020000073,9.3121425e-06,-5.8777605e-05,0.6611339,-0.032543696,-0.6285902,0.00011,-1.2009019e-06,-1.2084863e-06,0.0010000041,-0.0115716625,0.010571711,0.0,-1.19972e-06,-1.2092719e-06,0.0010000031,-0.001000202,1.875543e-07,0.0
2.364999999998789e-06,3.753238e-05,-1.3759265e-05,-0.9944745,-0.002104281,-2.5,2.5,2.5,-0.007097961,-0.0034077947,2.5,-15.183333,13.689994,18.0,-18.0,0.0039928094,7.190629e-06,-5.255246e-09,3.485004e-09,1.5836811e-06,-0.00018933165,-1.1943742e-09,7.920464e-10,-0.0014083333,-0.0015183333,0.00658251,-9.310812e-06,0.0065224245,-0.003994024,-8.39567e-06,0.62227243,2.5021588e-10,-9.172844e-11,-0.6615295,-0.03395203,-0.012576486,-0.0020009044,9.310812e-06,-5.8501668e-05,0.6615295,-0.032543696,-0.6289858,0.00011,-1.2008335e-06,-1.2085549e-06,0.0010000041,-0.01157649,0.010576534,0.0,-1.1997653e-06,-1.2092265e-06,0.0010009003,-0.0009999959,-9.151424e-07,0.0
2.374999999998784e-06,3.5143046e-05,-1.2174793e-05,-0.9947322,-0.0018473833,-2.5,2.5,2.5,-0.0068369294,-0.0031507094,2.5,-15.183333,13.6983185,18.0,-18.0,0.003993835,6.1653327e-06,-5.2578253e-09,3.4866783e-09,1.4802732e-06,-0.0001769274,-1.1949602e-09,7.924269e-10,-0.0014083333,-0.0015183333,0.006585968,-9.309471e-06,0.0065262644,-0.0039950493,-7.3703154e-06,0.6226508,2.3428698e-10,-8.116528e-11,-0.66189915,-0.03395203,-0.012580987,-0.0020019435,9.309471e-06,-5.822381e-05,0.66189915,-0.032543696,-0.6293555,0.00011,-1.2007652e-06,-1.2086234e-06,0.0010000041,-0.011580977,0.0105810175,0.0,-1.1998106e-06,-1.209181e-06,0.0010019394,-0.0010000101,-1.9391557e-06,0.0
2.3849999999987786e-06,3.2752603e-05,-1.0589551e-05,-0.9949703,-0.0016100844,-2.5,2.5,2.5,-0.0065954807,-0.0029132213,2.5,-15.183333,13.706079,18.0,-18.0,0.003994781,5.2187497e-06,-5.260117e-09,3.488386e-09,1.376804e-06,-0.00016451582,-1.195481e-09,7.9281504e-10,-0.0014083333,-0.0015183333,0.0065891654,-9.30812e-06,0.0065298444,-0.003995996,-6.4236747e-06,0.62300354,2.183507e-10,-7.0597e-11,-0.66224295,-0.03395203,-0.01258512,-0.0020028758,9.30812e-06,-5.794405e-05,0.66224295,-0.032543696,-0.6296993,0.00011,-1.2006967e-06,-1.208692e-06,0.0010000041,-0.011585124,0.010585162,0.0,-1.199856e-06,-1.2091356e-06,0.0010028718,-0.0009999963,-2.8844454e-06,0.0
2.3949999999987734e-06,3.0361138e-05,-9.003605e-06,-0.9951888,-0.0013923938,-2.5,2.5,2.5,-0.006373625,-0.00269534,2.5,-15.183333,13.713274,18.0,-18.0,0.003995649,4.350917e-06,-5.2623337e-09,3.489773e-09,1.273283e-06,-0.00015209803,-1.1959849e-09,7.931302e-10,-0.0014083333,-0.0015183333,0.006592101,-9.306758e-06,0.0065331655,-0.003996864,-5.5557844e-06,0.62333065,2.0240759e-10,-6.0024034e-11,-0.6625608,-0.03395203,-0.012588941,-0.0020037564,9.306758e-06,-5.7662386e-05,0.6625608,-0.032543696,-0.63001716,0.00011,-1.2006283e-06,-1.2087605e-06,0.0010000041,-0.011588931,0.010588965,0.0,-1.1999014e-06,-1.2090901e-06,0.0010037522,-0.0010000096,-3.7509737e-06,0.0
2.4049999999987683e-06,2.796871e-05,-7.417075e-06,-0.9953877,-0.0011943202,-2.5,2.5,2.5,-0.0061713704,-0.0024970742,2.5,-15.183333,13.719905,18.0,-18.0,0.0039964383,3.5618693e-06,-5.2643494e-09,3.490959e-09,1.1697101e-06,-0.00013967406,-1.1964431e-09,7.933998e-10,-0.0014083333,-0.0015183333,0.0065947752,-9.305386e-06,0.0065362267,-0.0039976533,-4.766679e-06,0.6236321,1.8645807e-10,-4.9447165e-11,-0.66285276,-0.03395203,-0.012592395,-0.0020045321,9.305386e-06,-5.7378842e-05,0.66285276,-0.032543696,-0.6303091,0.00011,-1.2005598e-06,-1.2088291e-06,0.0010000041,-0.0115923975,0.010592429,0.0,-1.1999468e-06,-1.2090446e-06,0.0010045281,-0.0009999969,-4.5387064e-06,0.0
2.414999999998763e-06,2.5575448e-05,-5.8299884e-06,-0.99556696,-0.0010158711,-2.5,2.5,2.5,-0.0059887255,-0.0023184314,2.5,-15.183333,13.725971,18.0,-18.0,0.0039971485,2.8516379e-06,-5.2660067e-09,3.4922212e-09,1.0660916e-06,-0.00012724464,-1.1968198e-09,7.936866e-10,-0.0014083333,-0.0015183333,0.0065971883,-9.304003e-06,0.0065390286,-0.0039983634,-4.05639e-06,0.6239078,1.7050299e-10,-3.886659e-11,-0.6631188,-0.03395203,-0.012595533,-0.0020052542,9.304003e-06,-5.709342e-05,0.6631188,-0.032543696,-0.6305751,0.00011,-1.2004914e-06,-1.2088977e-06,0.0010000041,-0.011595524,0.010595552,0.0,-1.1999922e-06,-1.208999e-06,0.00100525,-0.0010000091,-5.247613e-06,0.0
2.424999999998758e-06,2.3181457e-05,-4.2423776e-06,-0.9957266,-0.0008570536,-2.5,2.5,2.5,-0.005825697,-0.002159419,2.5,-15.183333,13.731473,18.0,-18.0,0.00399778,2.22025e-06,-5.267551e-09,3.4932675e-09,9.62431e-07,-0.00011481019,-1.1971706e-09,7.939244e-10,-0.0014083333,-0.0015183333,0.006599339,-9.30261e-06,0.0065415706,-0.003998995,-3.4249447e-06,0.62415785,1.5454305e-10,-2.8282517e-11,-0.66335887,-0.03395203,-0.012598308,-0.0020058732,9.30261e-06,-5.6806137e-05,0.66335887,-0.032543696,-0.6308152,0.00011,-1.200423e-06,-1.2089663e-06,0.0010000041,-0.01159831,0.0105983345,0.0,-1.2000376e-06,-1.2089536e-06,0.0010058691,-0.0009999974,-5.877665e-06,0.0
2.4349999999987527e-06,2.078679e-05,-2.6543576e-06,-0.9958666,-0.00071787427,-2.5,2.5,2.5,-0.0056822915,-0.002020043,2.5,-15.183333,13.736408,18.0,-18.0,0.003998332,1.6677313e-06,-5.268982e-09,3.4940206e-09,8.5873296e-07,-0.000102371276,-1.197496e-09,7.940956e-10,-0.0014083333,-0.0015183333,0.0066012284,-9.301207e-06,0.006543853,-0.0039995476,-2.8723691e-06,0.6243822,1.385786e-10,-1.7695716e-11,-0.66357297,-0.03395203,-0.012600764,-0.0020064365,9.301207e-06,-5.6517e-05,0.66357297,-0.032543696,-0.6310293,0.00011,-1.2003544e-06,-1.2090348e-06,0.0010000041,-0.011600755,0.010600776,0.0,-1.200083e-06,-1.2089081e-06,0.0010064323,-0.0010000087,-6.428838e-06,0.0
